A small figure expressing joy with arms raised above head in celebration, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure gazing to the side with one hand on chest showing nostalgia, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure bowing slightly with hands pressed together showing gratitude, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure on knees reaching forward with open hands showing desperation, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure running forward in dynamic mid-stride pose, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure sitting cross-legged in meditation pose with palms on knees, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure sitting and holding an open book while reading, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure writing on paper with a pen at a small desk, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure dancing with one leg lifted and arms gracefully extended, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure cooking with a pan tossing food upward, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure sitting at a desk typing on a laptop computer, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure lying on side in peaceful sleeping position, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure kneeling with hands clasped in prayer position, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in martial arts fighting stance with one arm extended, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure carrying a large box on their back while walking, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure climbing upward reaching for a high point, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure stumbling and falling backward with arms out, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in swimming stroke position with arms forward, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure playing violin with bow in hand and instrument at chin, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure holding a paint palette and brush while painting, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure lifting a heavy barbell above their head, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure walking briskly forward carrying a briefcase, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure pointing in a direction with one arm extended, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure hugging another small figure warmly, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure wearing a white coat and holding a clipboard representing a doctor, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in military uniform holding a rifle representing a soldier, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in overalls and hat holding a pitchfork representing a farmer, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure holding a book and pointing representing a teacher, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in chef hat and apron holding a spatula representing a chef, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in lab coat holding a beaker representing a scientist, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in hard hat and vest holding blueprints representing a construction worker, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in firefighter gear holding a hose representing a firefighter, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in police uniform with badge representing a police officer, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in medical scrubs holding a syringe representing a nurse, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in leather apron hammering metal on an anvil representing a blacksmith, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure holding a large fishing net representing a fisherman, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in simple robes with peaceful stance representing a monk, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in judicial robes holding a gavel representing a judge, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in flight suit with helmet under arm representing a pilot, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure with pickaxe and helmet representing a miner, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure behind a market stand with goods representing a merchant, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure holding a paintbrush and palette representing an artist, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure holding a guitar in playing position representing a musician, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in white space suit with helmet representing an astronaut, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A tiny baby figure wrapped in a blanket representing a newborn infant, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A very small toddler figure taking wobbly first steps with arms out for balance, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small child figure playing with a toy airplane held above head, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A teenage figure with a backpack slung over one shoulder walking casually, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A young adult figure in modern casual clothing standing with confident posture, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A female figure cradling a rounded belly with both hands representing pregnancy, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A middle-aged figure with slightly heavier build standing with hands on hips, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
An older figure walking slowly with a cane representing an elderly man, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
An older female figure with a shawl sitting peacefully in a chair, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A very small frail elderly figure sitting in an armchair representing old age, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure wearing Egyptian headdress and collar representing an ancient pharaoh, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in armor holding a short sword and shield representing a Roman gladiator, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in toga holding a scroll representing an ancient Greek philosopher, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in full plate armor holding a sword representing a medieval knight, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure with fur cloak and round shield holding an axe representing a Viking warrior, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in samurai armor with katana drawn representing a Japanese samurai, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in ornate doublet and plumed hat representing a Renaissance nobleman, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in tricorn hat and long coat with cutlass representing a pirate, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in top hat and tailcoat with cane representing a Victorian gentleman, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
A small figure in soot-stained work clothes and flat cap representing a factory worker, flat vector isometric illustration, faceless minimal human figure, no facial details, simple body silhouette, vibrant pastel color palette with pink coral green and blue tones, clean flat shading, no gradients, geometric simplified forms, small scale miniature character style, modern infographic aesthetic, isolated on pure white background, no background elements, no ground shadow, no text, no audio, clean cutout style, centered with padding, high resolution, production-ready asset
