A pictogram figure with both arms raised high above head in celebration pose, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure looking upward with one hand reaching to the sky showing hope, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure leaning against a surface barely standing showing exhaustion, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in power stance with one fist pumped up showing determination, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure scratching head with tilted posture showing confusion, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure sitting alone hugging both knees showing loneliness, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure bouncing on toes with arms waving excitedly, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure bowing slightly with hands pressed together showing gratitude, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure on knees with arms reaching forward showing desperation, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure with both hands on hips standing proudly, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure running forward in mid-stride dynamic pose, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure sitting cross-legged in meditation pose, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure sitting and holding an open book reading, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure writing at a small desk with pen in hand, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure dancing with one leg lifted and arms extended, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure cooking holding a pan and spatula, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure sitting at desk typing on a laptop, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure lying on side in sleeping position, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure kneeling with hands clasped in prayer, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in martial arts fighting stance, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure carrying a heavy box while walking, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure climbing upward with arms reaching high, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure falling backward with arms out for balance, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in swimming stroke position, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure playing guitar holding instrument, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure painting with brush and palette, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure lifting a barbell overhead, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure walking briskly carrying a briefcase, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure pointing forward with one arm extended, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure hugging another pictogram figure, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in doctor coat holding a clipboard, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in military uniform with helmet, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in overalls and hat holding a pitchfork as farmer, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure holding a book and pointing as teacher, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in chef hat and apron holding spatula, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in lab coat holding a beaker as scientist, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in hard hat holding blueprints as construction worker, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in firefighter gear holding a hose, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in police uniform with badge, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in scrubs holding a syringe as nurse, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in apron hammering on anvil as blacksmith, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure holding a large net as fisherman, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in robes with calm stance as monk, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in judicial robes holding a gavel as judge, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in flight suit with helmet as pilot, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure with pickaxe and helmet as miner, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure behind a market stand as merchant, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure holding paintbrush and palette as artist, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure holding a microphone as singer, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
A pictogram figure in space suit with helmet as astronaut, flat vector pictogram human figure, simple geometric body silhouette, perfect circle head with no face no eyes no features, solid flat color fill with no gradient no shading, orange amber or teal turquoise or neutral gray color tone, dark navy charcoal slate background, completely flat 2D vector style, no 3D no depth no shadow, clean minimalist infographic people icon, simplified body proportions like a restroom sign pictogram, no outlines no strokes, pure solid shape, single isolated figure, no background elements, no text, no labels, no audio, centered composition with generous padding, high resolution production-ready vector asset
